,importance
dosage,0.46598621822881253
Expotime,0.09994889621948086
esumbyo,0.06009811858598232
Hsf,0.058822592777189465
enthalpy,0.04956730531694833
ox,0.04834500762478209
NOxygen,0.0445176979026106
ratio,0.039777694039200194
surfarea,0.02676810067013281
coresize,0.019006393412317298
e,0.01810577099455076
Ev,0.01648845464493443
surfcharge,0.016109370916833964
hydrosize,0.014709831391640346
esum,0.009146143634681277
