Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_mean,CV_F1_std
Random Forest,0.9438202247191011,0.8,0.9411764705882353,0.8648648648648649,0.9456699346405228,0.8804283435862384,0.057393551546370755
Decision Tree,0.9213483146067416,0.7777777777777778,0.8235294117647058,0.8,0.90359477124183,0.8311970638057595,0.05721470476651001
Logistic Regression,0.8876404494382022,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.9313725490196079,0.694962962962963,0.09762743773181573
SVM,0.8651685393258427,0.6086956521739131,0.8235294117647058,0.7,0.9276960784313725,0.6654854111405836,0.07793833696666522
KNN,0.8764044943820225,0.875,0.4117647058823529,0.56,0.8357843137254902,0.5269841269841269,0.11419749681653936
